graphic card type,resolution (px),CPU cores,RAM size,operating system,drive type,input devices,multimedia,RAM type,CPU clock speed (GHz),CPU model,state,drive memory size (GB),warranty,screen size,buynow_price
integrated graphics,1920 x 1080,2,4 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2,intel core i3,new,1000,producer warranty,"15"" - 15.9""",1949
dedicated graphics,1920 x 1080,2,16 gb,['windows 10 professional'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,1512,producer warranty,"14"" - 14.9""",5613.28
dedicated graphics,1920 x 1080,2,4 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.4,intel core i3,new,128,producer warranty,"15"" - 15.9""",2299
,,2,,,,,,,,,new,,producer warranty,,2599
dedicated graphics,1920 x 1080,4,8 gb,['no system'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,1256,producer warranty,"15"" - 15.9""",3899
dedicated graphics,1920 x 1080,3,8 gb,['windows 10 home'],ssd + hdd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,1128,producer warranty,"15"" - 15.9""",5699
dedicated graphics,1920 x 1080,4,16 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.6,intel core i7,new,250,producer warranty,"15"" - 15.9""",4449
dedicated graphics,1920 x 1080,4,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.6,intel core i7,new,240,producer warranty,"15"" - 15.9""",3799
dedicated graphics,1920 x 1080,4,32 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,240,producer warranty,"15"" - 15.9""",4949
integrated graphics,1920 x 1080,4,12 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,512,producer warranty,"15"" - 15.9""",4859
integrated graphics,1920 x 1080,2,4 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2,intel core i3,new,240,producer warranty,"15"" - 15.9""",2199
integrated graphics,1366 x 768,2,8 gb,['windows 10 professional'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.7,intel core i7,new,1000,producer warranty,"15"" - 15.9""",3400
dedicated graphics,1920 x 1080,4,32 gb,['no system'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,1120,producer warranty,"15"" - 15.9""",5899
dedicated graphics,1920 x 1080,4,16 gb,['no system'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,1128,producer warranty,"15"" - 15.9""",5225
dedicated graphics,1366 x 768,2,8 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,1.7,intel core i3,new,500,seller warranty,"15"" - 15.9""",1539
dedicated graphics,1920 x 1080,4,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.3,intel core i5,new,256,producer warranty,"15"" - 15.9""",3149
dedicated graphics,,2,8 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.3,intel core i5,new,0,producer warranty,"13"" - 13.9""",3009
integrated graphics,1366 x 768,4,4 gb,['windows 10 professional'],,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,1.8,amd a6,new,120,producer warranty,"15"" - 15.9""",1779
integrated graphics,1920 x 1080,2,8 gb,['windows 10 home'],ssd,"['touchpad', 'illuminated keyboard']","['camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,256,producer warranty,"13"" - 13.9""",4249
dedicated graphics,1600 x 900,2,16 gb,['windows 10 home'],hdd,['touchpad'],"['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,2.3,intel core i3,new,1000,producer warranty,"17"" - 17.9""",2999
dedicated graphics,1920 x 1080,4,16 gb,['windows 10 home'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.6,intel core i7,new,1240,producer warranty,"17"" - 17.9""",4549
,,2,,,,,,,,,new,,producer warranty,,999
,1920 x 1080,4,8 gb,['windows 10 home'],,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,256,producer warranty,"15"" - 15.9""",3899
dedicated graphics,3840 x 2160,4,32 gb,['no system'],ssd,"['keyboard', 'touchpad']","['camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,480,producer warranty,"15"" - 15.9""",8924
integrated graphics,1366 x 768,2,4 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.2,intel core i5,new,500,seller warranty,"15"" - 15.9""",1559
integrated graphics,1366 x 768,2,2 gb,['windows 10 home'],emmc,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.16,intel celeron dual-core,new,32,seller warranty,"11.9"" and less",689
dedicated graphics,1366 x 768,2,8 gb,['windows 10 professional'],hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,500,producer warranty,"14"" - 14.9""",3759
integrated graphics,1920 x 1080,2,8 gb,['windows 10 home'],ssd + hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,1128,producer warranty,"15"" - 15.9""",2849
integrated graphics,1366 x 768,2,2 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'microphone']",ddr3,1.6,intel celeron ,new,32,producer warranty,"11.9"" and less",949
dedicated graphics,1920 x 1080,4,16 gb,['no system'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,500,producer warranty,"15"" - 15.9""",6949
dedicated graphics,1920 x 1080,4,12 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.6,intel core i7,new,1000,producer warranty,"17"" - 17.9""",5355
dedicated graphics,1920 x 1080,4,12 gb,['windows 10 home'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,2512,producer warranty,"15"" - 15.9""",6411
dedicated graphics,1920 x 1080,4,8 gb,['no system'],hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,1000,producer warranty,"15"" - 15.9""",3799
dedicated graphics,1366 x 768,4,16 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.2,intel core i7,new,256,seller warranty,"15"" - 15.9""",3086.02
integrated graphics,1920 x 1080,2,8 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'microphone']",ddr4,2,intel core i3,new,1000,producer warranty,"15"" - 15.9""",2149
integrated graphics,1920 x 1280,2,8 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",,,intel core i5,new,512,producer warranty,"12"" - 12.9""",4399
,,2,,,,,,,,,new,,producer warranty,,1199
dedicated graphics,1920 x 1080,4,12 gb,['windows 10 home'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers']",ddr4,2.8,intel core i7,new,2256,producer warranty,"15"" - 15.9""",5469
integrated graphics,1366 x 768,2,4 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2,intel core i3,new,480,producer warranty,"15"" - 15.9""",2739
dedicated graphics,1920 x 1080,4,32 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,240,producer warranty,"15"" - 15.9""",7874
dedicated graphics,1920 x 1080,4,16 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.6,intel core i7,new,256,seller warranty,"15"" - 15.9""",3909
dedicated graphics,1920 x 1080,4,8 gb,['windows 10 home'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,1256,producer warranty,"15"" - 15.9""",6899
integrated graphics,1366 x 768,4,12 gb,['windows 10 professional'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,1.8,amd a6,new,1000,producer warranty,"15"" - 15.9""",1919
integrated graphics,,2,,,ssd + hdd,,"['SD card reader', 'camera', 'speakers', 'microphone']",,,intel core i3,new,1128,producer warranty,"15"" - 15.9""",2599
dedicated graphics,1920 x 1080,4,12 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,960,producer warranty,"15"" - 15.9""",5309
dedicated graphics,1600 x 900,2,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.5,intel core i7,new,960,producer warranty,"17"" - 17.9""",4099
dedicated graphics,1920 x 1080,3,8 gb,['windows 10 home'],hdd,"['touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.6,intel core i7,new,1000,producer warranty,"15"" - 15.9""",3699
integrated graphics,1366 x 768,2,4 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.3,intel core i3,new,500,producer warranty,"15"" - 15.9""",1699
dedicated graphics,1920 x 1080,4,4 gb,['no system'],hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.6,intel core i7,new,1000,producer warranty,"15"" - 15.9""",3399
dedicated graphics,1366 x 768,2,8 gb,['windows 10 professional'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,1.9,intel core i3,new,120,producer warranty,"15"" - 15.9""",2299
dedicated graphics,1920 x 1080,4,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,256,producer warranty,"15"" - 15.9""",4649
integrated graphics,1366 x 768,2,4 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,1.7,intel core i5,new,1000,seller warranty,"15"" - 15.9""",1699
dedicated graphics,1920 x 1080,2,8 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,256,producer warranty,"14"" - 14.9""",3729
integrated graphics,1366 x 768,2,4 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,1.35,amd e1,new,1000,seller warranty,"15"" - 15.9""",1099
dedicated graphics,1920 x 1080,4,16 gb,['windows 8.1 home 64-bit'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,2.6,intel core i7,new,512,producer warranty,"17"" - 17.9""",3999
integrated graphics,1920 x 1080,2,12 gb,['no system'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,1000,producer warranty,"15"" - 15.9""",2429
integrated graphics,1920 x 1080,2,8 gb,['windows 8.1 home 64-bit'],hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.4,intel core i7,new,500,seller warranty,"14"" - 14.9""",2599
integrated graphics,1366 x 768,2,2 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'microphone']",ddr3,1.6,intel celeron ,new,120,producer warranty,"11.9"" and less",1199
integrated graphics,1366 x 768,4,6 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,1.8,amd a6,new,500,seller warranty,"15"" - 15.9""",1279
dedicated graphics,1366 x 768,4,6 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,1.8,amd a6,new,1000,seller warranty,"15"" - 15.9""",1479
dedicated graphics,1920 x 1080,4,8 gb,['no system'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.6,intel core i7,new,1500,producer warranty,"17"" - 17.9""",4309
dedicated graphics,1920 x 1080,2,8 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2,intel core i3,new,1000,producer warranty,"15"" - 15.9""",2549
dedicated graphics,1366 x 768,2,4 gb,,hdd,,,ddr4,,intel core i3,new,500,producer warranty,"15"" - 15.9""",2087
dedicated graphics,1920 x 1080,4,8 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.7,,new,120,producer warranty,"15"" - 15.9""",2449
,,2,4 gb,['windows 10 home'],hdd,,,ddr3,2.3,,new,,producer warranty,"15"" - 15.9""",1549
integrated graphics,1920 x 1080,2,8 gb,['windows 10 home'],ssd + hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.4,intel core i3,new,1128,producer warranty,"15"" - 15.9""",2179
integrated graphics,1920 x 1080,2,4 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,2.3,intel core i3,new,256,producer warranty,"14"" - 14.9""",2149
,,not applicable,,,,,,,,,new,,producer warranty,,6160
integrated graphics,1920 x 1080,4,16 gb,['windows 10 home'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,1.6,intel core i5,new,1256,producer warranty,"14"" - 14.9""",4299
dedicated graphics,1920 x 1080,4,4 gb,['no system'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,240,producer warranty,"15"" - 15.9""",3499
integrated graphics,1920 x 1080,2,4 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2,intel core i3,new,128,producer warranty,"15"" - 15.9""",2799
integrated graphics,1920 x 1080,2,16 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.4,intel core i3,new,128,producer warranty,"14"" - 14.9""",3099
integrated graphics,1366 x 768,2,4 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",,,intel celeron ,new,256,producer warranty,"15"" - 15.9""",1439
integrated graphics,1920 x 1080,2,8 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,512,producer warranty,"14"" - 14.9""",7399
dedicated graphics,1920 x 1080,2,20 gb,['no system'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,480,producer warranty,"15"" - 15.9""",4523
,1366 x 768,2,4 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",,,,new,1000,producer warranty,"15"" - 15.9""",1249
,1366 x 768,2,4 gb,['windows 10 home'],hdd,,"['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,1.6,intel celeron dual-core,new,1000,producer warranty,"15"" - 15.9""",1419
dedicated graphics,1920 x 1080,2,8 gb,['no system'],hybrid,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,2.2,intel core i5,new,1000,producer warranty,"15"" - 15.9""",2599
integrated graphics,1366 x 768,2,4 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.3,intel core i3,new,1000,seller warranty,"15"" - 15.9""",1599
dedicated graphics,1920 x 1080,4,8 gb,['other'],hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.6,intel core i7,new,1000,producer warranty,"15"" - 15.9""",3249
integrated graphics,1600 x 900,2,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.2,intel core i5,new,256,seller warranty,"17"" - 17.9""",2769
dedicated graphics,1920 x 1080,4,16 gb,['no system'],hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,2000,producer warranty,"15"" - 15.9""",4169
dedicated graphics,1600 x 900,2,8 gb,['other'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,2.5,intel core i7,new,256,producer warranty,"17"" - 17.9""",2699
dedicated graphics,1366 x 768,2,6 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,1.7,intel core i3,new,256,seller warranty,"15"" - 15.9""",1829
integrated graphics,1366 x 768,2,4 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.2,intel core i5,new,128,seller warranty,"15"" - 15.9""",1749
dedicated graphics,1920 x 1080,4,8 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,2.1,other CPU,new,1000,producer warranty,"15"" - 15.9""",2899
dedicated graphics,1920 x 1080,4,8 gb,['windows 10 home'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers']",ddr4,2.6,intel core i7,new,1500,producer warranty,"15"" - 15.9""",5459
dedicated graphics,1920 x 1080,4,8 gb,['no system'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,480,producer warranty,"15"" - 15.9""",4799
integrated graphics,1366 x 768,2,8 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,1.7,intel core i3,new,500,seller warranty,"13"" - 13.9""",1479
integrated graphics,1920 x 1080,2,4 gb,['windows 10 home'],ssd,['touchpad'],,ddr4,3,other CPU,new,128,producer warranty,"15"" - 15.9""",1799
integrated graphics,1920 x 1080,2,12 gb,['windows 10 professional'],ssd + hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,1240,producer warranty,"15"" - 15.9""",3348.99
dedicated graphics,1366 x 768,2,4 gb,['windows 10 professional'],hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,1000,producer warranty,"14"" - 14.9""",3839
dedicated graphics,1366 x 768,2,16 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.4,intel core i7,new,128,seller warranty,"15"" - 15.9""",2399
,,2,,,,,,,,,new,100,producer warranty,,1249
integrated graphics,1366 x 768,2,4 gb,['windows 8.1 home 64-bit'],hdd,"['keyboard', 'touchpad']","['SD card reader', 'speakers', 'microphone']",ddr3,1.8,intel core i7,new,500,seller warranty,"13"" - 13.9""",1699
dedicated graphics,1920 x 1080,4,8 gb,['windows 10 home'],ssd,['touchpad'],['SD card reader'],ddr4,1.6,intel core i5,new,256,producer warranty,"14"" - 14.9""",3749
integrated graphics,1366 x 768,2,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.3,intel core i3,new,240,producer warranty,"15"" - 15.9""",2249
dedicated graphics,1920 x 1080,2,4 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'microphone']",ddr4,2.5,intel core i5,new,1000,producer warranty,"15"" - 15.9""",3379
dedicated graphics,1366 x 768,2,8 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.4,intel core i3,new,1000,seller warranty,"15"" - 15.9""",1669
integrated graphics,1920 x 1080,2,12 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,240,producer warranty,"15"" - 15.9""",2999
,,4,,,,,,,,,new,,producer warranty,,1620
integrated graphics,1280 x 800,4,2 gb,['other'],emmc,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers']",ddr3,1.44,intel celeron quad core ,new,32,producer warranty,"12"" - 12.9""",1179.9
dedicated graphics,1920 x 1080,4,32 gb,['windows 10 home'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,1128,producer warranty,"15"" - 15.9""",5159
integrated graphics,1920 x 1080,2,4 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.3,intel core i5,new,128,producer warranty,"14"" - 14.9""",3299
integrated graphics,1920 x 1080,2,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,256,producer warranty,"14"" - 14.9""",3550
dedicated graphics,1366 x 768,2,8 gb,['no system'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2,intel core i3,new,1000,producer warranty,"15"" - 15.9""",1999
integrated graphics,1920 x 1080,2,16 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.7,intel core i7,new,1000,producer warranty,"14"" - 14.9""",8499
integrated graphics,1366 x 768,4,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",,2,amd a6,new,256,producer warranty,"15"" - 15.9""",1919
integrated graphics,1366 x 768,2,12 gb,['no system'],hdd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2,intel core i3,new,1000,producer warranty,"15"" - 15.9""",1939
integrated graphics,1920 x 1080,4,16 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,1000,producer warranty,"15"" - 15.9""",6339
integrated graphics,1920 x 1080,2,8 gb,,ssd,,,,,intel core i5,new,256,producer warranty,"13"" - 13.9""",5499
dedicated graphics,1920 x 1080,2,12 gb,['windows 10 home'],ssd + hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2,intel core i3,new,1240,producer warranty,"15"" - 15.9""",3099
dedicated graphics,1920 x 1080,4,32 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,480,producer warranty,"15"" - 15.9""",4989
integrated graphics,1366 x 768,2,4 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,1.7,intel core i3,new,128,seller warranty,"15"" - 15.9""",1485
dedicated graphics,1920 x 1080,2,8 gb,,hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,1000,producer warranty,"15"" - 15.9""",2769
dedicated graphics,1920 x 1080,4,12 gb,['windows 10 professional'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,1128,producer warranty,"15"" - 15.9""",5992
dedicated graphics,1920 x 1080,4,16 gb,['windows 10 home'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,3.5,intel core i5,new,1500,producer warranty,"15"" - 15.9""",4799
dedicated graphics,1920 x 1080,4,32 gb,['windows 10 home'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.6,intel core i7,new,1240,producer warranty,"15"" - 15.9""",5199
,1920 x 1080,3,8 gb,['windows 10 home'],ssd,['touchpad'],"['SD card reader', 'camera', 'speakers', 'microphone']",,1.6,intel core i5,new,256,producer warranty,"14"" - 14.9""",3449
integrated graphics,1366 x 768,2,12 gb,['windows 7 professional 64-bit'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,2.1,intel pentium dual-core,new,1000,producer warranty,"15"" - 15.9""",2019
